MEM_GENDER,MEM_RACE,MEM_ETHNICITY,MEM_STATE,PRIMARY_CHRONIC_CONDITION_ROLLUP_DESC,member_count
F,1,2,CA,101 - MAJOR PSYCHOSIS,9
F,1,2,CA,102 - SEVERE DEMENTIA,76
F,1,2,CA,103 - CANCER,47
F,1,2,CA,104 - RENAL FAILURE AND/OR POST KIDNEY TRANSPLANT,109
F,1,2,CA,"105 - LIVER DISEASE (HEPATITIS, CIRRHOSIS) – POST TRANSPLANT",74
F,1,2,CA,106 - HIV,4
F,1,2,CA,107 - SEVERE RHEUMATIC & OTHER CONNECTIVE TISSUE DISEASE,16
F,1,2,CA,108 - SEVERE HEART FAILURE/TRANSPLANT/RHEUMATIC HEART DISEASE/NON-RHEUMATIC VALVULAR HEART DISEASE,56
F,1,2,CA,109 - HEMOPHILIA & SICKLE CELL & CHRONIC BLOOD DISORDERS,12
F,1,2,CA,110 - BOTH CAD & DIABETES,18
F,1,2,CA,111 - CAD,27
F,1,2,CA,112 - DIABETES,264
F,1,2,CA,113 - HYPERTENSION (INCLUDES STROKE & PERIPHERAL VASCULAR DISEASE),299
F,1,2,CA,114 - COPD,22
F,1,2,CA,115 - ASTHMA,73
F,1,2,CA,116 - NEUROLOGIC DISORDERS,27
F,1,2,CA,117 - INTELLECTUAL DISABILITY,8
F,1,2,CA,118 - CONGENITAL ANOMALIES,6
F,1,2,CA,120 - CHRONIC MUSCULOSKETETAL/OSTEO ARTHRITIS/OSTEPOROSIS,78
F,1,2,CA,"121 - DEPRESSION, SUBSTANCE ABUSE AND OTHER MENTAL HEALTH DISORDER",53
F,1,2,CA,122 - GASTROINTESTINAL  DISORDERS,23
F,1,2,CA,123 - THYROID DISORDERS,85
F,1,2,CA,124 - DERMATOLOGIC DISORDERS,5
F,1,2,CA,126 - OTHER CHRONIC CONDITIONS,410
F,1,2,CA,128 - HEALTHY CHILD (2-5),154
F,1,2,CA,137 - HEALTHY FEMALE (6-15),484
F,1,2,CA,138 - HEALTHY FEMALE (16-40),1091
F,1,2,CA,139 - HEALTHY FEMALE (41-64),978
F,1,2,CA,140 - HEALTHY FEMALE (65-69),247
F,1,2,CA,141 - HEALTHY FEMALE (70-74),221
F,1,2,CA,142 - HEALTHY FEMALE (75-79),163
F,1,2,CA,143 - HEALTHY FEMALE (80-84),94
F,1,2,CA,144 - HEALTHY FEMALE (85+),152
F,1,2,HI,128 - HEALTHY CHILD (2-5),1
F,1,2,WA,104 - RENAL FAILURE AND/OR POST KIDNEY TRANSPLANT,1
F,1,2,WA,138 - HEALTHY FEMALE (16-40),2
F,1,3,HI,"105 - LIVER DISEASE (HEPATITIS, CIRRHOSIS) – POST TRANSPLANT",1
F,1,3,HI,107 - SEVERE RHEUMATIC & OTHER CONNECTIVE TISSUE DISEASE,1
F,1,3,HI,109 - HEMOPHILIA & SICKLE CELL & CHRONIC BLOOD DISORDERS,1
F,1,3,HI,112 - DIABETES,1
F,1,3,HI,113 - HYPERTENSION (INCLUDES STROKE & PERIPHERAL VASCULAR DISEASE),5
F,1,3,HI,114 - COPD,1
F,1,3,HI,120 - CHRONIC MUSCULOSKETETAL/OSTEO ARTHRITIS/OSTEPOROSIS,5
F,1,3,HI,"121 - DEPRESSION, SUBSTANCE ABUSE AND OTHER MENTAL HEALTH DISORDER",1
F,1,3,HI,123 - THYROID DISORDERS,2
F,1,3,HI,126 - OTHER CHRONIC CONDITIONS,6
F,1,3,HI,137 - HEALTHY FEMALE (6-15),1
F,1,3,HI,138 - HEALTHY FEMALE (16-40),5
F,1,3,HI,139 - HEALTHY FEMALE (41-64),4
F,1,3,HI,140 - HEALTHY FEMALE (65-69),3
F,1,3,HI,141 - HEALTHY FEMALE (70-74),2
F,1,3,HI,142 - HEALTHY FEMALE (75-79),1
F,1,3,HI,143 - HEALTHY FEMALE (80-84),2
F,1,3,HI,144 - HEALTHY FEMALE (85+),1
F,1,3,MI,113 - HYPERTENSION (INCLUDES STROKE & PERIPHERAL VASCULAR DISEASE),2
F,1,3,MI,120 - CHRONIC MUSCULOSKETETAL/OSTEO ARTHRITIS/OSTEPOROSIS,2
F,1,3,MI,126 - OTHER CHRONIC CONDITIONS,3
F,1,3,MI,138 - HEALTHY FEMALE (16-40),2
F,1,3,MI,139 - HEALTHY FEMALE (41-64),1
F,1,3,MI,140 - HEALTHY FEMALE (65-69),2
F,1,3,MI,141 - HEALTHY FEMALE (70-74),1
F,1,3,MI,143 - HEALTHY FEMALE (80-84),1
F,1,3,MI,144 - HEALTHY FEMALE (85+),1
F,2,2,CA,101 - MAJOR PSYCHOSIS,119
F,2,2,CA,102 - SEVERE DEMENTIA,33
F,2,2,CA,103 - CANCER,52
F,2,2,CA,104 - RENAL FAILURE AND/OR POST KIDNEY TRANSPLANT,137
F,2,2,CA,"105 - LIVER DISEASE (HEPATITIS, CIRRHOSIS) – POST TRANSPLANT",37
F,2,2,CA,106 - HIV,37
F,2,2,CA,107 - SEVERE RHEUMATIC & OTHER CONNECTIVE TISSUE DISEASE,59
